candidate_id,rank,name,score,match_percentage,experience,reason_codes,reasoning
CAND_0000051,1,Diya Joshi,0.200282,20.03,7.0 years,"Profile-to-JD relevance: 14.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000046,2,Rahul Saxena,0.188063,18.81,4.6 years,"Profile-to-JD relevance: 15.1%; JD-matched skills: Linux, Docker, Kubernetes +7 more","15.1% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000061,3,Pranav Bansal,0.182637,18.26,5.0 years,"Profile-to-JD relevance: 14.2%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.2% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000056,4,Aisha Tiwari,0.182428,18.24,5.3 years,"Profile-to-JD relevance: 14.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000011,5,Pranav Bansal,0.181029,18.1,4.5 years,"Profile-to-JD relevance: 14.3%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.3% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000041,6,Arjun Verma,0.176471,17.65,4.1 years,"Profile-to-JD relevance: 14.5%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.5% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000006,7,Aisha Tiwari,0.176164,17.62,4.7 years,"Profile-to-JD relevance: 14.3%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.3% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000070,8,Karan Iyer,0.164789,16.48,9.0 years,Profile-to-JD relevance: 1.9%,1.9% profile-to-job-description relevance
CAND_0000026,9,Diya Joshi,0.159865,15.99,2.7 years,"Profile-to-JD relevance: 14.4%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.4% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000097,10,Nikhil Shah,0.157689,15.77,7.1 years,Profile-to-JD relevance: 1.4%,1.4% profile-to-job-description relevance
CAND_0000066,11,Arjun Verma,0.153496,15.35,1.8 years,"Profile-to-JD relevance: 14.2%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.2% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000080,12,Kavya Kulkarni,0.153105,15.31,7.9 years,Profile-to-JD relevance: 1.4%,1.4% profile-to-job-description relevance
CAND_0000055,13,Kavya Kulkarni,0.150523,15.05,4.5 years,Profile-to-JD relevance: 1.9%,1.9% profile-to-job-description relevance
CAND_0000021,14,Rahul Saxena,0.150307,15.03,1.4 years,"Profile-to-JD relevance: 14.2%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.2% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000036,15,Pranav Bansal,0.146542,14.65,1.4 years,"Profile-to-JD relevance: 14.1%; JD-matched skills: Linux, Docker, Kubernetes +7 more","14.1% profile-to-job-description relevance; matched skills: Linux, Docker, Kubernetes, Git, CI/CD"
CAND_0000100,16,Ananya Gupta,0.143634,14.36,6.2 years,Profile-to-JD relevance: 1.4%,1.4% profile-to-job-description relevance
