candidate_id,rank,name,score,match_percentage,experience,reason_codes,reasoning
CAND_0000027,1,Ishaan Patel,0.278645,27.86,7.0 years,"Profile-to-JD relevance: 15.7%; JD-matched skills: Python, Pandas, NumPy +8 more","15.7% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000036,2,Meera Mehta,0.270502,27.05,8.6 years,"Profile-to-JD relevance: 15.3%; JD-matched skills: Python, Pandas, NumPy +7 more","15.3% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000025,3,Kabir Nair,0.269106,26.91,6.7 years,"Profile-to-JD relevance: 15.6%; JD-matched skills: Python, Pandas, NumPy +7 more","15.6% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000023,4,Aditya Chopra,0.263326,26.33,5.3 years,"Profile-to-JD relevance: 15.5%; JD-matched skills: Python, Pandas, NumPy +7 more","15.5% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000021,5,Aarav Sharma,0.262898,26.29,7.4 years,"Profile-to-JD relevance: 15.2%; JD-matched skills: Python, Pandas, NumPy +6 more","15.2% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000035,6,Ira Kulkarni,0.25986,25.99,4.0 years,"Profile-to-JD relevance: 15.4%; JD-matched skills: Python, Pandas, NumPy +7 more","15.4% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000029,7,Rahul Saxena,0.259656,25.97,5.6 years,"Profile-to-JD relevance: 15.2%; JD-matched skills: Python, Pandas, NumPy +6 more","15.2% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000030,8,Nikhil Gupta,0.258649,25.86,5.4 years,"Profile-to-JD relevance: 15.1%; JD-matched skills: Python, Pandas, NumPy +6 more","15.1% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000022,9,Vivaan Rao,0.257612,25.76,9.6 years,"Profile-to-JD relevance: 15.5%; JD-matched skills: Python, Pandas, NumPy +8 more","15.5% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000024,10,Arjun Verma,0.25604,25.6,9.7 years,"Profile-to-JD relevance: 15.5%; JD-matched skills: Python, Pandas, NumPy +8 more","15.5% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000026,11,Rohan Das,0.252992,25.3,10.2 years,"Profile-to-JD relevance: 15.3%; JD-matched skills: Python, Pandas, NumPy +8 more","15.3% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000032,12,Dev Mishra,0.246491,24.65,9.9 years,"Profile-to-JD relevance: 15.7%; JD-matched skills: Python, Pandas, NumPy +8 more","15.7% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000034,13,Diya Bansal,0.245453,24.55,4.4 years,"Profile-to-JD relevance: 15.5%; JD-matched skills: Python, Pandas, NumPy +7 more","15.5% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000040,14,Tanya Iyer,0.243355,24.34,6.1 years,"Profile-to-JD relevance: 11.8%; JD-matched skills: Python, Pandas, NumPy +7 more","11.8% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000037,15,Riya Kapoor,0.238982,23.9,8.6 years,"Profile-to-JD relevance: 12.0%; JD-matched skills: Python, Pandas, NumPy +8 more","12.0% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000028,16,Karan Khan,0.238906,23.89,4.3 years,"Profile-to-JD relevance: 15.2%; JD-matched skills: Python, Pandas, NumPy +6 more","15.2% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000039,17,Aisha Joshi,0.236153,23.62,8.0 years,"Profile-to-JD relevance: 11.5%; JD-matched skills: Python, Pandas, NumPy +6 more","11.5% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000031,18,Samar Malhotra,0.234892,23.49,3.4 years,"Profile-to-JD relevance: 15.0%; JD-matched skills: Python, Pandas, NumPy +6 more","15.0% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000033,19,Ananya Singh,0.233816,23.38,1.4 years,"Profile-to-JD relevance: 15.5%; JD-matched skills: Python, Pandas, NumPy +8 more","15.5% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000038,20,Kavya Shah,0.230809,23.08,9.2 years,"Profile-to-JD relevance: 11.9%; JD-matched skills: Python, Pandas, NumPy +7 more","11.9% profile-to-job-description relevance; matched skills: Python, Pandas, NumPy, Scikit-learn, SQL"
CAND_0000064,21,Arjun Verma,0.181201,18.12,7.1 years,"Profile-to-JD relevance: 5.8%; JD-matched skills: Python, Machine Learning, Scikit-learn +4 more","5.8% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000067,22,Ishaan Patel,0.179995,18.0,7.2 years,"Profile-to-JD relevance: 5.6%; JD-matched skills: Python, Machine Learning, Scikit-learn +3 more","5.6% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000062,23,Vivaan Rao,0.177359,17.74,8.2 years,"Profile-to-JD relevance: 5.7%; JD-matched skills: Python, Machine Learning, Scikit-learn +3 more","5.7% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000073,24,Ananya Singh,0.176806,17.68,9.4 years,"Profile-to-JD relevance: 6.1%; JD-matched skills: Python, Machine Learning, Scikit-learn +4 more","6.1% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000076,25,Meera Mehta,0.17313,17.31,8.3 years,"Profile-to-JD relevance: 6.2%; JD-matched skills: Python, Machine Learning, Scikit-learn +4 more","6.2% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000063,26,Aditya Chopra,0.171841,17.18,9.3 years,"Profile-to-JD relevance: 5.8%; JD-matched skills: Python, Machine Learning, Scikit-learn +3 more","5.8% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000077,27,Riya Kapoor,0.171838,17.18,5.7 years,"Profile-to-JD relevance: 5.0%; JD-matched skills: Python, Machine Learning, Scikit-learn +4 more","5.0% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000068,28,Karan Khan,0.165948,16.59,6.9 years,"Profile-to-JD relevance: 5.9%; JD-matched skills: Python, Machine Learning, Scikit-learn +3 more","5.9% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000075,29,Ira Kulkarni,0.1619,16.19,9.5 years,"Profile-to-JD relevance: 6.2%; JD-matched skills: Python, Machine Learning, Scikit-learn +4 more","6.2% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000061,30,Aarav Sharma,0.160614,16.06,3.6 years,"Profile-to-JD relevance: 6.0%; JD-matched skills: Python, Machine Learning, Scikit-learn +4 more","6.0% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000072,31,Dev Mishra,0.154476,15.45,5.0 years,"Profile-to-JD relevance: 5.9%; JD-matched skills: Python, Machine Learning, Scikit-learn +3 more","5.9% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000080,32,Tanya Iyer,0.150054,15.01,4.5 years,"Profile-to-JD relevance: 4.9%; JD-matched skills: Python, Machine Learning, Scikit-learn +3 more","4.9% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000074,33,Diya Bansal,0.148873,14.89,9.9 years,"Profile-to-JD relevance: 5.9%; JD-matched skills: Python, Machine Learning, Scikit-learn +4 more","5.9% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
CAND_0000069,34,Rahul Saxena,0.14873,14.87,9.1 years,"Profile-to-JD relevance: 5.7%; JD-matched skills: Python, Machine Learning, Scikit-learn +3 more","5.7% profile-to-job-description relevance; matched skills: Python, Machine Learning, Scikit-learn, Pandas, Feature Engineering"
