candidate_id,rank,name,score,match_percentage,experience,reason_codes,reasoning
CAND_0000067,1,Ishaan Patel,0.275793,27.58,7.2 years,"Profile-to-JD relevance: 17.6%; JD-matched skills: Python, Machine Learning, NLP +7 more","17.6% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000064,2,Arjun Verma,0.269176,26.92,7.1 years,"Profile-to-JD relevance: 16.8%; JD-matched skills: Python, Machine Learning, NLP +7 more","16.8% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000063,3,Aditya Chopra,0.263963,26.4,9.3 years,"Profile-to-JD relevance: 17.3%; JD-matched skills: Python, Machine Learning, NLP +7 more","17.3% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000073,4,Ananya Singh,0.261596,26.16,9.4 years,"Profile-to-JD relevance: 16.7%; JD-matched skills: Python, Machine Learning, NLP +7 more","16.7% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000062,5,Vivaan Rao,0.259549,25.95,8.2 years,"Profile-to-JD relevance: 16.0%; JD-matched skills: Python, Machine Learning, NLP +6 more","16.0% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000076,6,Meera Mehta,0.253142,25.31,8.3 years,"Profile-to-JD relevance: 16.2%; JD-matched skills: Python, Machine Learning, NLP +5 more","16.2% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000061,7,Aarav Sharma,0.249496,24.95,3.6 years,"Profile-to-JD relevance: 17.1%; JD-matched skills: Python, Machine Learning, NLP +7 more","17.1% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000068,8,Karan Khan,0.246902,24.69,6.9 years,"Profile-to-JD relevance: 16.0%; JD-matched skills: Python, Machine Learning, NLP +5 more","16.0% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000072,9,Dev Mishra,0.245597,24.56,5.0 years,"Profile-to-JD relevance: 17.3%; JD-matched skills: Python, Machine Learning, NLP +5 more","17.3% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
CAND_0000075,10,Ira Kulkarni,0.240969,24.1,9.5 years,"Profile-to-JD relevance: 16.0%; JD-matched skills: Python, Machine Learning, NLP +5 more","16.0% profile-to-job-description relevance; matched skills: Python, Machine Learning, NLP, Scikit-learn, Pandas"
