candidate_id,rank,name,score,match_percentage,experience,reason_codes,reasoning
CAND_0000031,1,Ela Singh,0.210246,21.02,6.0 years,"Profile-to-JD relevance: 3.4%; JD-matched skills: Feature Engineering, Marketing","3.4% profile-to-job-description relevance; matched skills: Feature Engineering, Marketing"
CAND_0000043,2,Aarav Sen,0.167811,16.78,8.3 years,Profile-to-JD relevance: 2.9%; JD-matched skills: Feature Engineering,2.9% profile-to-job-description relevance; matched skills: Feature Engineering
CAND_0000050,3,Naina Bose,0.16206,16.21,13.5 years,"Profile-to-JD relevance: 18.3%; JD-matched skills: gRPC, SEO, Feature Engineering +2 more","18.3% profile-to-job-description relevance; matched skills: gRPC, SEO, Feature Engineering, Marketing, Data Pipelines"
CAND_0000014,4,Atharv Joshi,0.129984,13.0,8.4 years,Profile-to-JD relevance: 0.9%; JD-matched skills: SEO,0.9% profile-to-job-description relevance; matched skills: SEO
CAND_0000032,5,Pranav Agarwal,0.12855,12.86,8.1 years,Profile-to-JD relevance: 2.3%; JD-matched skills: Data Pipelines,2.3% profile-to-job-description relevance; matched skills: Data Pipelines
CAND_0000029,6,Priya Sethi,0.125925,12.59,7.2 years,Profile-to-JD relevance: 7.4%; JD-matched skills: gRPC,7.4% profile-to-job-description relevance; matched skills: gRPC
CAND_0000006,7,Rajesh Desai,0.125152,12.52,6.0 years,"Profile-to-JD relevance: 7.4%; JD-matched skills: SEO, gRPC","7.4% profile-to-job-description relevance; matched skills: SEO, gRPC"
CAND_0000015,8,Rahul Agarwal,0.121729,12.17,5.4 years,Profile-to-JD relevance: 1.3%; JD-matched skills: SEO,1.3% profile-to-job-description relevance; matched skills: SEO
CAND_0000025,9,Anika Kumar,0.113064,11.31,7.3 years,Profile-to-JD relevance: 2.3%; JD-matched skills: Data Pipelines,2.3% profile-to-job-description relevance; matched skills: Data Pipelines
CAND_0000001,10,Ira Vora,0.111498,11.15,6.9 years,Profile-to-JD relevance: 5.2%; Aspirational career pivot signal,5.2% profile-to-job-description relevance
CAND_0000038,11,Myra Trivedi,0.110927,11.09,6.7 years,Profile-to-JD relevance: 0.4%,0.4% profile-to-job-description relevance
CAND_0000010,12,Aarav Kapoor,0.108194,10.82,4.6 years,Profile-to-JD relevance: 5.3%; Aspirational career pivot signal,5.3% profile-to-job-description relevance
CAND_0000033,13,Shreya Nair,0.103035,10.3,8.6 years,"Profile-to-JD relevance: 5.3%; JD-matched skills: Data Pipelines, SEO","5.3% profile-to-job-description relevance; matched skills: Data Pipelines, SEO"
CAND_0000035,14,Vikram Verma,0.101349,10.13,4.3 years,Profile-to-JD relevance: 2.6%; JD-matched skills: Data Pipelines,2.6% profile-to-job-description relevance; matched skills: Data Pipelines
CAND_0000021,15,Rahul Joshi,0.089452,8.95,14.5 years,Profile-to-JD relevance: 1.9%,1.9% profile-to-job-description relevance
CAND_0000044,16,Vihaan Naidu,0.086381,8.64,5.7 years,Profile-to-JD relevance: 0.4%,0.4% profile-to-job-description relevance
CAND_0000016,17,Aanya Malhotra,0.086109,8.61,5.3 years,Profile-to-JD relevance: 3.4%; JD-matched skills: Data Pipelines,3.4% profile-to-job-description relevance; matched skills: Data Pipelines
CAND_0000026,18,Neha Rao,0.083138,8.31,6.8 years,Profile-to-JD relevance: 1.5%,1.5% profile-to-job-description relevance
CAND_0000046,19,Dev Nair,0.081076,8.11,7.8 years,Profile-to-JD relevance: 1.6%,1.6% profile-to-job-description relevance
CAND_0000048,20,Vihaan Saxena,0.079319,7.93,9.7 years,Profile-to-JD relevance: 0.4%,0.4% profile-to-job-description relevance
